ITEM,Producer,SERVING (bars),SERVING (g),CALORIES,FAT (g),SAT. FAT (g),PROTEIN (g),CARB. (g),SODIUM (mg),CALCIUM (mg)
3_MUSKETEERS,Mars,1 bar ,51,212,6.5,3.5,1.5,39,99,43
5TH_AVENUE,Hershey,1 bar ,60,279.5,12.5,3.5,4.5,41,111.5,42
100_GRAND_BAR,Nestle,1 bar ,43,200.5,8,5,2,30.5,89,49
ALMOND_JOY,Hershey,1 bar ,50,232,14,8.5,2.5,29,67,39.5
BABY_RUTH,Nestle,1 bar ,60,288.5,12.5,7.5,4.5,39,135.5,24.5
BAR_NONE,Hershey,1 piece,43,224,14.5,9.5,3.5,22.5,44.5,62.5
BUTTERFINGER,Nestle,1 bar ,45,216,8.5,4.5,5.5,29.5,89,12
CARAMELLO,Hershey,1 bar ,45,220,11.5,0,2.5,29.5,55.5,89
DEMET'S_TURTLES,Nestle,1 piece ,68,130,18,8,4,40,64,108
GOOBERS,Nestle,1 pkg ,39,200,13,5,5.5,19,16,49.5
KIT_KAT,Hershey,1 bar ,43,220.5,12.5,7.5,3,26.5,43.5,77.5
KRACKEL,Hershey,1 bar ,47,236,13,5.5,3,29,64,84
M&M'S-PEANUT,Mars,1 pkg. ,47,242.5,12.5,5,4.5,28.5,22.5,47.5
M&M'S-PLAIN,Mars,1 pkg. ,48,236,10,6.5,2,34,29.5,50.5
MILKY_WAY,Mars,1 bar ,54,228.5,8.5,4,2.5,38.5,129.5,70
MOUNDS,Hershey,1 pkg. ,54,195,11.5,6,2,31.5,67.5,12.5
MR._GOODBAR,Hershey,1 bar ,50,257,16,9,6.5,25.5,17,55.5
NESTLE_CRUNCH,Nestle,1 bar ,44,229.5,11.5,6.5,2.5,28.5,58.5,74.5
OH_HENRY!,Nestle,1 bar ,57,245.5,9.5,4,6,37,135,62
RAISINETS,Nestle,1 bar ,45,185.5,7,3.5,2,32,16,48.5
REESE'S_CUPS,Hershey,"1 pkg., 2 cups ",45,222,14.5,6.5,5,22,130.5,35
REESE'S_PIECES,Hershey,1 bar ,55,258,11.5,7.5,7,34,82.5,73
ROLO,Hershey,1 roll ,49,233,10.5,5.5,2.5,34,83.5,65.5
SKOR_TOFFEE,Hershey,1 bar ,40,211,14,0,2,22,92,45
SNICKERS,Mars,1 bar ,57,273,14,5,4.5,34,151.5,53.5
SPECIAL_DARK,Hershey,1 bar ,41,195,12.5,7,2,25.5,4,8
SYMPHONY,Hershey,1 bar ,40,209,13,0,3,22.5,34.5,94
TWIX,Mars,1 pkg. ,57,284.5,14,5,2.5,37.5,110,51.5
WHATCHAMACALLIT,Hershey,1 bar ,51,256.5,13,5.5,4.5,30,116.5,62
YORK,Hershey,1 lg. pattie ,43,149,4,0,1.5,33.5,16.5,7.5
