focus_country,other_country,val
BEN,ALL,38761
BFA,ALL,7594
CAF,ALL,3188
CIV,ALL,143628980
CMR,ALL,13379443
COD,ALL,9492
COG,ALL,8609
CPV,ALL,66125
DJI,ALL,56021
DZA,ALL,109567
EGY,ALL,127180699
GAB,ALL,226921
GHA,ALL,808647
KEN,ALL,2613256
LBY,ALL,2171
MAR,ALL,5442211
MDG,ALL,1448740
MLI,ALL,8568
MOZ,ALL,76558
MRT,ALL,28524
MUS,ALL,147968
NER,ALL,703414
NGA,ALL,358453
RWA,ALL,75491
SDN,ALL,9850
SEN,ALL,5199416
SHN,ALL,1096
SLE,ALL,1900
STP,ALL,521509
SYC,ALL,7142
TGO,ALL,239278
TUN,ALL,9126155
TZA,ALL,92268
UGA,ALL,244175
ZAF,ALL,48049986
ZMB,ALL,573159
ZWE,ALL,600247
AFG,ALL,1096
ARE,ALL,374151059
ARM,ALL,1512965
AZE,ALL,8960283
BGD,ALL,629476
BHR,ALL,2999931
BRN,ALL,9811
CHN,ALL,315181931
CYP,ALL,2028673
GEO,ALL,2331859
HKG,ALL,76439341
IDN,ALL,30596964
IND,ALL,135562315
IRN,ALL,36885464
IRQ,ALL,24285
ISR,ALL,35784936
JOR,ALL,6376113
JPN,ALL,69896336
KAZ,ALL,25008172
KGZ,ALL,447272
KHM,ALL,143484
KOR,ALL,61903217
KWT,ALL,2121517
LAO,ALL,3570
LBN,ALL,43997244
LKA,ALL,3200317
MAC,ALL,413806
MDV,ALL,2996
MMR,ALL,28230
MNG,ALL,315865
MYS,ALL,175593602
OMN,ALL,2353737
PAK,ALL,35415413
PHL,ALL,23706360
PSE,ALL,6339823
QAT,ALL,190992
SAU,ALL,26326050
SGP,ALL,368791711
SYR,ALL,2996057
THA,ALL,37192690
TJK,ALL,453280
TKM,ALL,364682
TUR,ALL,442658826
UZB,ALL,2173528
VNM,ALL,12414603
XXB,ALL,6531714
YEM,ALL,31914
ALB,ALL,590794
AND,ALL,14503
AUT,ALL,435925225
BGR,ALL,104612701
BIH,ALL,14545763
BLR,ALL,39856233
BEL,ALL,2887258257
CHE,ALL,883083034
CZE,ALL,249085585
DEU,ALL,4212951702
DNK,ALL,145496830
ESP,ALL,432232104
EST,ALL,6131142
FIN,ALL,73024654
FRA,ALL,1392641822
GBR,ALL,828853035
GRC,ALL,34883829
HRV,ALL,77693519
HUN,ALL,129145890
IRL,ALL,325225914
ISL,ALL,2394053
ITA,ALL,1782380059
LTU,ALL,113514251
LVA,ALL,32561615
MDA,ALL,3897084
MKD,ALL,10892965
MLT,ALL,6127399
MNE,ALL,708847
NLD,ALL,1507895077
NOR,ALL,43828995
POL,ALL,1467914575
PRT,ALL,27522556
ROU,ALL,58812070
RUS,ALL,432265497
SMR,ALL,18954
SRB,ALL,49922663
SVK,ALL,189489281
SVN,ALL,17670381
SWE,ALL,259914507
UKR,ALL,154706947
ABW,ALL,278856
AIA,ALL,1592
ATG,ALL,1213818
BHS,ALL,1878
BLM,ALL,20104
BLZ,ALL,64405
BMU,ALL,1034
BRB,ALL,445739
CAN,ALL,1393220140
CRI,ALL,9553366
CUB,ALL,13025
CUW,ALL,15184
DMA,ALL,51698
DOM,ALL,6587379
GRD,ALL,238032
GTM,ALL,10443916
HND,ALL,100320
JAM,ALL,519581
MEX,ALL,604278382
NIC,ALL,49456
PAN,ALL,1810944
SLV,ALL,5405919
TCA,ALL,23503
TTO,ALL,8000530
USA,ALL,1592107605
VCT,ALL,124507
VGB,ALL,33208
ASM,ALL,2293
AUS,ALL,181865918
FJI,ALL,121307
GUM,ALL,37626
MHL,ALL,965947
NCL,ALL,280234
NRU,ALL,32531
NZL,ALL,92121375
PNG,ALL,6362
PYF,ALL,46824
SLB,ALL,2480
TKL,ALL,8949
VUT,ALL,3522
WSM,ALL,11890
ARG,ALL,135303122
BOL,ALL,129492
BRA,ALL,96617182
CHL,ALL,20209285
COL,ALL,60987957
ECU,ALL,20759437
GUY,ALL,8467
PER,ALL,16059292
PRY,ALL,56330
SUR,ALL,2530
URY,ALL,3183549
VEN,ALL,1550129
DEU,AGO,162099
DEU,BEN,1924
DEU,CIV,189547
DEU,CMR,51769
DEU,COD,6203
DEU,CPV,12588
DEU,DZA,15492811
DEU,EGY,6545877
DEU,ETH,301260
DEU,GHA,37056
DEU,GNQ,12268
DEU,KEN,579615
DEU,LBR,418881
DEU,LBY,2882918
DEU,MAR,1814501
DEU,MDG,68383
DEU,MLI,10704
DEU,MOZ,7386
DEU,MUS,1244837
DEU,MWI,10536
DEU,NER,8693
DEU,NGA,567502
DEU,RWA,7223
DEU,SDN,3300
DEU,SEN,39398
DEU,SLE,280440
DEU,SYC,220147
DEU,TGO,21220
DEU,TUN,2486852
DEU,TZA,30909
DEU,UGA,106548
DEU,ZAF,11280775
DEU,ZMB,24150
DEU,ZWE,254383
DEU,AFG,80485
DEU,ARE,34521056
DEU,ARM,1656555
DEU,AZE,3614350
DEU,BGD,36241
DEU,BHR,1948231
DEU,BRN,337340
DEU,CHN,47399206
DEU,CYP,3682985
DEU,GEO,1381254
DEU,HKG,40565212
DEU,IDN,3644921
DEU,IND,2969146
DEU,IRN,4259008
DEU,IRQ,3089400
DEU,ISR,13474601
DEU,JOR,1861103
DEU,JPN,13478444
DEU,KAZ,12837850
DEU,KGZ,587946
DEU,KHM,54003
DEU,KOR,19439470
DEU,KWT,6185044
DEU,LAO,155282
DEU,LBN,10516285
DEU,LKA,746574
DEU,MDV,458945
DEU,MMR,8948
DEU,MNG,5413842
DEU,MYS,5018789
DEU,NPL,115172
DEU,OMN,2553816
DEU,PAK,465082
DEU,PHL,3744798
DEU,PRK,156521
DEU,PSE,359870
DEU,QAT,4990270
DEU,SAU,26273895
DEU,SGP,16769646
DEU,SYR,33662
DEU,THA,6102977
DEU,TJK,32497
DEU,TKM,526558
DEU,TUR,37250128
DEU,UZB,534084
DEU,VNM,3367219
DEU,XXB,8742727
DEU,YEM,173081
DEU,ALB,3318873
DEU,AND,634438
DEU,AUT,312404157
DEU,BGR,42927899
DEU,BIH,7362581
DEU,BLR,4618193
DEU,BEL,191676444
DEU,CHE,116192620
DEU,CZE,105023060
DEU,DNK,110321937
DEU,ESP,144796624
DEU,EST,5083129
DEU,FIN,29756623
DEU,FRA,528898998
DEU,GBR,509057637
DEU,GRC,38206693
DEU,HRV,41629165
DEU,HUN,61532325
DEU,IRL,37032482
DEU,ISL,2375191
DEU,ITA,229778802
DEU,LTU,21852720
DEU,LVA,8543536
DEU,MDA,1280714
DEU,MKD,2749715
DEU,MLT,1304418
DEU,MNE,874492
DEU,NLD,259628568
DEU,NOR,37441707
