other_country,focus_country,val
ALL,AGO,22010791
ALL,BDI,180629
ALL,BEN,3396357
ALL,BFA,2796876
ALL,CAF,753512
ALL,CIV,4012760
ALL,CMR,4482558
ALL,COD,5683554
ALL,COG,6702269
ALL,COM,254454
ALL,CPV,1284459
ALL,DJI,2152558
ALL,DZA,93647323
ALL,EGY,84553031
ALL,ERI,3698
ALL,ETH,3550472
ALL,GAB,5369924
ALL,GHA,8058345
ALL,GIN,2865782
ALL,GMB,2748800
ALL,GNB,813988
ALL,GNQ,2421948
ALL,KEN,9839612
ALL,LBR,2920304
ALL,LBY,85734842
ALL,MAR,34151016
ALL,MDG,1371693
ALL,MLI,2398091
ALL,MOZ,8002481
ALL,MRT,3789542
ALL,MUS,16192893
ALL,MWI,1363977
ALL,NER,2324426
ALL,NGA,11229211
ALL,RWA,680979
ALL,SDN,13373086
ALL,SEN,4508363
ALL,SHN,558368
ALL,SLE,4198840
ALL,SOM,584455
ALL,SSD,132236
ALL,STP,157817
ALL,SYC,2607789
ALL,TCD,1025283
ALL,TGO,2105738
ALL,TUN,11590929
ALL,TZA,2603187
ALL,UGA,2433748
ALL,ZAF,89991453
ALL,ZMB,6526317
ALL,ZWE,5813210
ALL,ATF,20290
ALL,AFG,93837120
ALL,ARE,375887979
ALL,ARM,35425866
ALL,AZE,67187791
ALL,BGD,8122426
ALL,BHR,42111269
ALL,BRN,21748818
ALL,BTN,1545610
ALL,CHN,428891067
ALL,CXR,24616
ALL,CYP,32072975
ALL,GEO,47223037
ALL,HKG,401678926
ALL,IDN,108331393
ALL,IND,86741940
ALL,IRN,18348747
ALL,IRQ,119889128
ALL,ISR,156973003
ALL,JOR,71274991
ALL,JPN,547500049
ALL,KAZ,170340393
ALL,KGZ,44446286
ALL,KHM,2121690
ALL,KOR,295013422
ALL,KWT,147249334
ALL,LAO,1901537
ALL,LBN,81246430
ALL,LKA,16022396
ALL,MAC,41177210
ALL,MDV,11359904
ALL,MMR,9136097
ALL,MNG,41032655
ALL,MYS,126396833
ALL,NPL,11907168
ALL,OMN,79151053
ALL,PAK,15315926
ALL,PHL,106463919
ALL,PRK,1953964
ALL,PSE,44948182
ALL,QAT,91519484
ALL,SAU,528644885
ALL,SGP,219445478
ALL,SYR,16478627
ALL,THA,111826807
ALL,TJK,27334104
ALL,TKM,30433746
ALL,TLS,208161
ALL,TUR,106217937
ALL,UZB,21386223
ALL,VNM,28183898
ALL,XXB,127806091
ALL,YEM,18824538
ALL,ALB,16621297
ALL,AND,9296979
ALL,AUT,495330957
ALL,BGR,112239927
ALL,BIH,77189920
ALL,BLR,87579160
ALL,BEL,720394674
ALL,CHE,244535187
ALL,CZE,398037247
ALL,DEU,2048331324
ALL,DNK,305644850
ALL,ESP,563241576
ALL,EST,42283407
ALL,FIN,123692540
ALL,FRA,2028018530
ALL,GBR,2067483083
ALL,GIB,2435736
ALL,GRC,119717580
ALL,HRV,134245082
ALL,HUN,209747295
ALL,IRL,327800623
ALL,ISL,14681861
ALL,ITA,553192329
ALL,LTU,99036386
ALL,LVA,48786247
ALL,MDA,17149246
ALL,MKD,35622396
ALL,MLT,24410427
ALL,MNE,22556232
ALL,NLD,1138023535
ALL,NOR,178270451
ALL,POL,644668142
ALL,PRT,191760024
ALL,ROU,216687058
ALL,RUS,356336312
ALL,SMR,1319329
ALL,SRB,64396271
ALL,SVK,235984438
ALL,SVN,96491419
ALL,SWE,333352452
ALL,UKR,76685939
ALL,ABW,4406871
ALL,AIA,19560
ALL,ATG,1545635
ALL,BES,139158
ALL,BHS,3921654
ALL,BLM,180821
ALL,BLZ,2165145
ALL,BMU,3045138
ALL,BRB,6188173
ALL,CAN,948614953
ALL,CRI,30483218
ALL,CUB,4307027
ALL,CUW,2444366
ALL,CYM,674592
ALL,DMA,279028
ALL,DOM,23064295
ALL,GRD,226579
ALL,GRL,5061656
ALL,GTM,28493824
ALL,HND,16852604
ALL,HTI,1834200
ALL,JAM,9902693
ALL,KNA,176677
ALL,LCA,527373
ALL,MAF,1394083
ALL,MEX,309103372
ALL,MSR,6218
ALL,NIC,10593094
ALL,PAN,42368448
ALL,SLV,18767317
ALL,SPM,296777
ALL,TCA,207709
ALL,TTO,12358514
ALL,USA,2471761889
ALL,VCT,997078
ALL,VGB,367671
ALL,ASM,257725
ALL,AUS,478330053
ALL,COK,574968
ALL,FJI,3854136
ALL,FSM,38812
ALL,GUM,1565700
ALL,KIR,21541
ALL,MHL,68447
ALL,MNP,22139
ALL,NCL,8042371
ALL,NFK,16582
ALL,NIU,45435
ALL,NRU,47544
ALL,NZL,146915148
ALL,PLW,1324746
ALL,PNG,3075226
ALL,PYF,7428526
ALL,SLB,567714
ALL,TKL,13029
ALL,TON,131060
ALL,TUV,38076
ALL,VUT,691958
ALL,WLF,117489
ALL,WSM,351238
ALL,ARG,41746733
ALL,BOL,22044862
ALL,BRA,175467865
ALL,CHL,78376958
ALL,COL,50102129
ALL,ECU,28662907
ALL,FLK,567442
ALL,GUY,3348974
ALL,PER,28076719
ALL,PRY,26496101
ALL,SUR,3297263
ALL,URY,28312921
ALL,VEN,29876748
GHA,GBR,18513
KEN,GBR,2167224
MDG,GBR,545533
NGA,GBR,23828
SLE,GBR,1900
UGA,GBR,127398
ZAF,GBR,472619
ARE,GBR,405287
BHR,GBR,11997
CHN,GBR,6909835
CYP,GBR,1035
HKG,GBR,67793
IND,GBR,24027
ISR,GBR,1225127
JOR,GBR,12997
JPN,GBR,27787
KOR,GBR,27218
LBN,GBR,231423
LKA,GBR,242199
MYS,GBR,10289
PHL,GBR,81127
PSE,GBR,41689
SGP,GBR,285609
THA,GBR,163117
TUR,GBR,2984022
VNM,GBR,5709
XXB,GBR,14660
AUT,GBR,7809143
BGR,GBR,1601969
BEL,GBR,269967600
CHE,GBR,32010863
CZE,GBR,10422050
DEU,GBR,509057637
DNK,GBR,3850899
ESP,GBR,27114127
EST,GBR,8137
FIN,GBR,447266
FRA,GBR,219820458
GRC,GBR,2987573
HRV,GBR,37684
HUN,GBR,11465065
IRL,GBR,246377538
ISL,GBR,16596
ITA,GBR,103222620
LTU,GBR,19959068
LVA,GBR,1056788
MLT,GBR,945628
NLD,GBR,192999493
NOR,GBR,135726
POL,GBR,306295169
PRT,GBR,167466
ROU,GBR,2678000
RUS,GBR,21462
SRB,GBR,392227
SVK,GBR,29583496
SVN,GBR,18748
SWE,GBR,8509427
UKR,GBR,3667
BLZ,GBR,7438
BRB,GBR,1384
CAN,GBR,738804
DOM,GBR,26500
GRD,GBR,71353
JAM,GBR,9768
MEX,GBR,94444
TTO,GBR,8474
USA,GBR,39551867
AUS,GBR,642440
NZL,GBR,286714
BRA,GBR,192247
COL,GBR,633652
ECU,GBR,40992
PER,GBR,63452
CIV,DEU,9958
COD,DEU,6565
EGY,DEU,1062
GHA,DEU,3688
MDG,DEU,2492
MUS,DEU,1656
NER,DEU,11106
NGA,DEU,6919
STP,DEU,18036
TUN,DEU,1631
ZAF,DEU,78438
ARE,DEU,736683
AZE,DEU,318084
CHN,DEU,2060248
CYP,DEU,4401
IDN,DEU,88288
IND,DEU,188623
IRN,DEU,1864
ISR,DEU,27062
JPN,DEU,4521
KAZ,DEU,629023
KOR,DEU,14022
LBN,DEU,5470
LKA,DEU,23886
MYS,DEU,268794
OMN,DEU,71993
PAK,DEU,1570
QAT,DEU,3156
THA,DEU,3416541
TUR,DEU,4762454
VNM,DEU,722456
XXB,DEU,1254
ALB,DEU,2713
AUT,DEU,137175969
BGR,DEU,1934565
BIH,DEU,20837
BLR,DEU,60598
BEL,DEU,470535754
CHE,DEU,269144132
CZE,DEU,33266002
DNK,DEU,56120155
ESP,DEU,40702494
EST,DEU,13715
FIN,DEU,4939849
FRA,DEU,198310942
GBR,DEU,56111001
GRC,DEU,470099
HRV,DEU,4156046
HUN,DEU,15767096
IRL,DEU,2178598
ISL,DEU,30329
ITA,DEU,112311635
LTU,DEU,3407520
LVA,DEU,1508457
MKD,DEU,162100
MNE,DEU,5975
NLD,DEU,310502763
NOR,DEU,9265473
POL,DEU,252199073
PRT,DEU,1329694
ROU,DEU,4708548
RUS,DEU,8729700
SRB,DEU,412409
SVK,DEU,5659768
SVN,DEU,592270
SWE,DEU,25395948
UKR,DEU,921959
CAN,DEU,194711
CUB,DEU,13025
DOM,DEU,584784
MEX,DEU,40184
NIC,DEU,12874
USA,DEU,5532714
AUS,DEU,20622
NZL,DEU,3168
BOL,DEU,9355
BRA,DEU,26468
COL,DEU,54331
ECU,DEU,172549
PER,DEU,46181
PRY,DEU,45626
URY,DEU,13710
VEN,DEU,14897
BEN,FRA,35105
CIV,FRA,82383976
EGY,FRA,3510
GHA,FRA,226385
MAR,FRA,18781
MDG,FRA,185476
MUS,FRA,9116
SEN,FRA,390421
STP,FRA,251027
TGO,FRA,115424
TUN,FRA,797851
ZAF,FRA,269319
ARE,FRA,43459
CHN,FRA,209044
ISR,FRA,536176
JPN,FRA,33270
KAZ,FRA,2536
KOR,FRA,9445
LBN,FRA,45738
MYS,FRA,857916
PHL,FRA,66727
SAU,FRA,1503
THA,FRA,110223
TUR,FRA,770459
VNM,FRA,25906
ALB,FRA,154239
AUT,FRA,19101401
BGR,FRA,189221
BEL,FRA,588891364
CHE,FRA,85812729
CZE,FRA,7116479
DEU,FRA,528898998
DNK,FRA,1314680
ESP,FRA,108465599
FIN,FRA,19453
GBR,FRA,49465907
GRC,FRA,1202412
HRV,FRA,21522
HUN,FRA,3952925
IRL,FRA,2389586
ISL,FRA,15488
ITA,FRA,270762410
LTU,FRA,8674466
LVA,FRA,12977
MDA,FRA,30244
MKD,FRA,5596
NLD,FRA,178370655
NOR,FRA,116671
POL,FRA,51504239
PRT,FRA,1012664
ROU,FRA,169358
RUS,FRA,948283
SRB,FRA,41547
SVK,FRA,6657439
SVN,FRA,3513781
SWE,FRA,17846027
CAN,FRA,1638362
CRI,FRA,6128
DMA,FRA,51698
DOM,FRA,363080
MEX,FRA,5204
PAN,FRA,2329
USA,FRA,1449599
AUS,FRA,13916
NCL,FRA,4080
NZL,FRA,1045
PYF,FRA,41251
ARG,FRA,7971
BRA,FRA,41646
CHL,FRA,3803
COL,FRA,1290
ECU,FRA,24648
PER,FRA,182046
URY,FRA,79877
VEN,FRA,23404
CPV,NLD,24164
GHA,NLD,3379
MDG,NLD,9322
STP,NLD,20056
UGA,NLD,1183
ZAF,NLD,73258
ARE,NLD,7578
CHN,NLD,407885
CYP,NLD,12051
HKG,NLD,28215
IDN,NLD,33917
IND,NLD,31171
ISR,NLD,13065
JOR,NLD,3521
JPN,NLD,7306
LBN,NLD,11198
LKA,NLD,358475
MYS,NLD,1277378
PHL,NLD,1808
SGP,NLD,1054130
THA,NLD,26403
TUR,NLD,1719852
VNM,NLD,737427
XXB,NLD,5581
AUT,NLD,5581806
BGR,NLD,1082829
BEL,NLD,402314626
CHE,NLD,15834554
CZE,NLD,7912837
DEU,NLD,259628568
DNK,NLD,4854990
ESP,NLD,8915524
EST,NLD,45036
FIN,NLD,284988
FRA,NLD,108617421
GBR,NLD,98904971
GRC,NLD,3837075
HRV,NLD,82236
HUN,NLD,3882595
IRL,NLD,1674290
ISL,NLD,10044
ITA,NLD,77195274
LTU,NLD,750181
LVA,NLD,163773
MKD,NLD,28448
MLT,NLD,14107
NOR,NLD,55871
POL,NLD,91144974
PRT,NLD,435439
ROU,NLD,898166
RUS,NLD,3330798
SRB,NLD,197382
SVK,NLD,2395640
SVN,NLD,981427
SWE,NLD,10289694
UKR,NLD,167876
CAN,NLD,1263147
GRD,NLD,18128
MEX,NLD,4281
USA,NLD,16140539
AUS,NLD,35701
NZL,NLD,50381
ARG,NLD,1968284
BOL,NLD,5357
BRA,NLD,63631
COL,NLD,212713
ECU,NLD,855359
PER,NLD,20486
URY,NLD,3764
CIV,ITA,17342
GHA,ITA,21469
STP,ITA,62025
ARE,ITA,15623
AZE,ITA,87136
CHN,ITA,2076
HKG,ITA,12918
IND,ITA,6500
IRN,ITA,1125
ISR,ITA,12408
JOR,ITA,91785
KOR,ITA,1797
THA,ITA,15790
TUR,ITA,2391368
ALB,ITA,5963
AUT,ITA,17494380
BGR,ITA,441524
BEL,ITA,76748851
CHE,ITA,25850875
CZE,ITA,616019
DEU,ITA,229778802
DNK,ITA,674615
ESP,ITA,22141404
FIN,ITA,139263
FRA,ITA,89195047
GBR,ITA,3989552
GRC,ITA,296193
HRV,ITA,10825
HUN,ITA,2665467
IRL,ITA,201669
LTU,ITA,106179
LVA,ITA,6578
MDA,ITA,51603
MKD,ITA,38722
NLD,ITA,18118010
POL,ITA,50380439
PRT,ITA,191364
ROU,ITA,5723928
RUS,ITA,535592
SRB,ITA,16284
SVK,ITA,2462207
SVN,ITA,559585
SWE,ITA,1327945
UKR,ITA,16713
CAN,ITA,111373
MEX,ITA,10926
USA,ITA,418869
AUS,ITA,8353
ARG,ITA,2750
BRA,ITA,9553
CHL,ITA,7574
COL,ITA,7093
ECU,ITA,4806
PER,ITA,86073
CIV,BEL,1332178
GHA,BEL,15931
MAR,BEL,20284
TGO,BEL,8242
UGA,BEL,1959
ZAF,BEL,50891
ARE,BEL,16812
CHN,BEL,4512731
CYP,BEL,30007
HKG,BEL,100889
IDN,BEL,16148
IND,BEL,2910
IRN,BEL,27693
ISR,BEL,62745
JPN,BEL,93106
KOR,BEL,211107
LBN,BEL,13904
MYS,BEL,208734
OMN,BEL,1706
THA,BEL,128911
TUR,BEL,1120681
VNM,BEL,3005789
AUT,BEL,10965978
BGR,BEL,40993
CHE,BEL,11051287
CZE,BEL,13115468
DEU,BEL,191676444
DNK,BEL,483816
ESP,BEL,33430572
FIN,BEL,66471
FRA,BEL,159411252
GBR,BEL,27208841
GRC,BEL,1063933
HRV,BEL,27906
HUN,BEL,1979359
IRL,BEL,802638
ISL,BEL,2350
ITA,BEL,80645168
LTU,BEL,7049010
LVA,BEL,31970
NLD,BEL,111628484
NOR,BEL,7509
POL,BEL,27177638
PRT,BEL,293165
ROU,BEL,2531615
SRB,BEL,24794
SVK,BEL,8589190
SVN,BEL,8315
SWE,BEL,5111612
UKR,BEL,20388
CAN,BEL,897238
CRI,BEL,3530
MEX,BEL,26931
USA,BEL,13608191
AUS,BEL,108277
VUT,BEL,1959
BOL,BEL,6037
BRA,BEL,5377
COL,BEL,18642
ECU,BEL,276997
PER,BEL,9228
VEN,BEL,2743
CIV,POL,30045204
DJI,POL,56021
ARE,POL,237417
CHN,POL,520893
CYP,POL,936623
GEO,POL,149181
IDN,POL,46487
ISR,POL,1995
TUR,POL,456179
VNM,POL,11573
AUT,POL,27784072
BGR,POL,12301242
BEL,POL,39155997
CHE,POL,2990657
CZE,POL,35704055
DEU,POL,273443398
DNK,POL,2561128
ESP,POL,4216923
EST,POL,15339
FIN,POL,1603232
FRA,POL,16903319
GBR,POL,38673545
GRC,POL,543391
HRV,POL,155206
HUN,POL,5216055
IRL,POL,521700
ITA,POL,69335216
LTU,POL,8027790
LVA,POL,8484275
MDA,POL,229998
NLD,POL,32730263
NOR,POL,864016
PRT,POL,600833
ROU,POL,2430484
RUS,POL,2098503
SVK,POL,19842445
SVN,POL,993924
SWE,POL,1812491
UKR,POL,2165012
CAN,POL,4710
MEX,POL,7105
USA,POL,774019
ARG,POL,4874
COL,POL,9609
PER,POL,1741
CPV,ESP,41961
MAR,ESP,3749
CHN,ESP,62520
ISR,ESP,41000
THA,ESP,4577
TUR,ESP,523739
XXB,ESP,17216
AUT,ESP,25442500
BGR,ESP,891746
BEL,ESP,61803613
CHE,ESP,17470738
CZE,ESP,2401867
DEU,ESP,144796624
DNK,ESP,1335489
FIN,ESP,220541
FRA,ESP,149093832
GBR,ESP,15495681
GRC,ESP,327626
HRV,ESP,10754
HUN,ESP,1787035
IRL,ESP,850238
ITA,ESP,91059171
LTU,ESP,144013
LVA,ESP,78447
MKD,ESP,22457
NLD,ESP,25701070
NOR,ESP,29936
POL,ESP,8218402
PRT,ESP,7594173
ROU,ESP,1042500
RUS,ESP,630576
SVK,ESP,317103
SVN,ESP,1505914
SWE,ESP,2894416
UKR,ESP,316835
CAN,ESP,15190
DOM,ESP,9673
MEX,ESP,12742
USA,ESP,554579
ARG,ESP,278012
BRA,ESP,1026
COL,ESP,187610
PER,ESP,2285
VEN,ESP,2403
CIV,AUT,11808
EGY,AUT,1247
MDG,AUT,135786
NER,AUT,1593
SYC,AUT,6007
ZAF,AUT,2008
ARE,AUT,47724
CHN,AUT,243639
GEO,AUT,44679
IND,AUT,3002
JPN,AUT,12799
KOR,AUT,2349
LBN,AUT,4302
MYS,AUT,290783
PHL,AUT,3971
QAT,AUT,1794
THA,AUT,3543
TUR,AUT,472740
XXB,AUT,6088
BGR,AUT,963624
BIH,AUT,231004
BLR,AUT,2700
BEL,AUT,37528251
CHE,AUT,14452803
CZE,AUT,13195252
DEU,AUT,312404157
DNK,AUT,651859
ESP,AUT,1689976
FIN,AUT,84722
FRA,AUT,13472403
GBR,AUT,2812944
GRC,AUT,72242
HRV,AUT,3049345
HUN,AUT,4239848
IRL,AUT,118689
ITA,AUT,22470506
LTU,AUT,560370
LVA,AUT,123576
MKD,AUT,26659
NLD,AUT,28605163
NOR,AUT,943092
POL,AUT,13138192
PRT,AUT,407560
ROU,AUT,826164
RUS,AUT,1694
SRB,AUT,477827
SVK,AUT,19215967
SVN,AUT,403508
SWE,AUT,1393887
UKR,AUT,1479
BLM,AUT,20104
CAN,AUT,47980
JAM,AUT,51363
MEX,AUT,17211
USA,AUT,255523
BRA,AUT,6637
CHL,AUT,5556
ECU,AUT,49750
PER,AUT,15508
EGY,RUS,5528
ARE,RUS,33243
ARM,RUS,278376
AZE,RUS,1380195
CHN,RUS,665509
GEO,RUS,27354
IDN,RUS,1049
IND,RUS,120153
IRN,RUS,31657
ISR,RUS,145826
JOR,RUS,17927
JPN,RUS,558343
KAZ,RUS,11303576
KGZ,RUS,6526
KOR,RUS,1250844
LBN,RUS,83243
MYS,RUS,14243
PHL,RUS,115538
SAU,RUS,8137
THA,RUS,115192
TUR,RUS,1984459
UZB,RUS,432770
AUT,RUS,1113637
BGR,RUS,581852
BLR,RUS,34951142
BEL,RUS,27460780
CHE,RUS,9795518
CZE,RUS,571205
DEU,RUS,100323233
DNK,RUS,775661
ESP,RUS,2093311
EST,RUS,767391
FIN,RUS,8753439
FRA,RUS,11626930
GBR,RUS,3947723
GRC,RUS,76528
HRV,RUS,4641
HUN,RUS,1768894
IRL,RUS,20128
ITA,RUS,57885100
LTU,RUS,5755634
LVA,RUS,4094401
MDA,RUS,408136
NLD,RUS,9530424
NOR,RUS,80776
POL,RUS,48337058
PRT,RUS,3124
ROU,RUS,292536
SRB,RUS,744941
SVK,RUS,964362
SVN,RUS,99701
SWE,RUS,2114253
UKR,RUS,113453
CAN,RUS,9584
GTM,RUS,24649
USA,RUS,2108924
NZL,RUS,83184
COL,RUS,465272
ECU,RUS,9096
MDG,CZE,24092
