focus_country,other_country,val
CIV,ALL,3747787941
CMR,ALL,578963229
COD,ALL,14382733
COG,ALL,5956804
CPV,ALL,509316
GAB,ALL,26026
GHA,ALL,1976085454
GIN,ALL,43849754
GNQ,ALL,2290141
KEN,ALL,2467155
LBR,ALL,37902636
MDG,ALL,26723870
MUS,ALL,1884
NER,ALL,1009
NGA,ALL,504161852
SLE,ALL,22391252
STP,ALL,9640997
TGO,ALL,35709418
TZA,ALL,38842189
UGA,ALL,77066911
ZAF,ALL,314973
ARE,ALL,18274
BGD,ALL,2485
CHN,ALL,3093195
HKG,ALL,11008
IDN,ALL,176497294
IND,ALL,18541655
ISR,ALL,4867
JOR,ALL,13129
JPN,ALL,22928
KOR,ALL,4428
LBN,ALL,84028
LKA,ALL,100119
MYS,ALL,53039718
OMN,ALL,27386
PAK,ALL,2737
PHL,ALL,6413024
SAU,ALL,1471
SGP,ALL,355595
THA,ALL,8826
TUR,ALL,7410451
VNM,ALL,8564103
XXB,ALL,14980
AUT,ALL,133141
BGR,ALL,114856
BLR,ALL,1660
BEL,ALL,143496109
CHE,ALL,4835461
CZE,ALL,66627
DEU,ALL,50736163
DNK,ALL,193488
ESP,ALL,3015131
EST,ALL,130577587
FIN,ALL,13717
FRA,ALL,20534543
GBR,ALL,63547862
GRC,ALL,54105
HRV,ALL,4063
HUN,ALL,109800
IRL,ALL,9997
ISL,ALL,3022
ITA,ALL,355070
LTU,ALL,301422
LVA,ALL,2246
NLD,ALL,156060101
NOR,ALL,12315
POL,ALL,6538691
PRT,ALL,24422
ROU,ALL,10850
RUS,ALL,2014411
SVK,ALL,3394
SVN,ALL,94471
SWE,ALL,120643
UKR,ALL,2357
BLZ,ALL,474023
CAN,ALL,1599294
CRI,ALL,919954
CUB,ALL,524495
DMA,ALL,25126
DOM,ALL,275727845
GRD,ALL,3595121
GTM,ALL,315004
HND,ALL,802109
HTI,ALL,8245057
JAM,ALL,1057366
LCA,ALL,132605
MEX,ALL,815477
NIC,ALL,7276166
PAN,ALL,1768333
SLV,ALL,99216
TTO,ALL,1486148
USA,ALL,34192310
AUS,ALL,23663
FJI,ALL,18978
NZL,ALL,76527
PCN,ALL,36529
PNG,ALL,119202868
SLB,ALL,11875683
TKL,ALL,250906
VUT,ALL,3720015
WSM,ALL,110048
ARG,ALL,144090
BOL,ALL,1374062
BRA,ALL,21237758
CHL,ALL,74565
COL,ALL,41662564
ECU,ALL,742196402
PER,ALL,205325388
VEN,ALL,30577950
CMR,CHN,4653818
CMR,IDN,16183475
CMR,JPN,1044330
CMR,MYS,54340641
CMR,SGP,28920573
CMR,THA,3343044
CMR,TUR,2286470
CMR,BEL,32174173
CMR,CHE,10582
CMR,DEU,8764296
CMR,ESP,32960137
CMR,EST,301776
CMR,FRA,12094288
CMR,ITA,21877
CMR,NLD,381809949
CMR,CAN,53802
NGA,NER,4096
NGA,ARM,685857
NGA,CHN,3026663
NGA,IND,3305753
NGA,LKA,75737
NGA,MYS,11374919
NGA,SGP,4312
NGA,TUR,3025373
NGA,AUT,2087011
NGA,BEL,22535745
NGA,DEU,72566432
NGA,ESP,8205476
NGA,EST,3943515
NGA,FRA,8472493
NGA,ITA,7439237
NGA,NLD,338915911
NGA,RUS,5616464
NGA,CAN,6880953
NGA,USA,5995907
ECU,DZA,1351130
ECU,TUN,157000
ECU,ZAF,8031
ECU,ARE,1642
ECU,ARM,250374
ECU,CHN,18243400
ECU,HKG,1190
ECU,IDN,11754648
ECU,IND,14085958
ECU,JPN,11192176
ECU,KOR,961568
ECU,MYS,58651457
ECU,SGP,135623
ECU,THA,818232
ECU,TUR,298020
ECU,XXB,16908
ECU,AUT,159981
ECU,BEL,28973204
ECU,CHE,35838728
ECU,CZE,37105
ECU,DEU,40016583
ECU,ESP,11536015
ECU,EST,16573152
ECU,FIN,8961
ECU,FRA,10545654
ECU,GBR,188741
ECU,ITA,15259374
ECU,NLD,80035412
ECU,NOR,2967
ECU,POL,6536512
ECU,RUS,71392
ECU,SVN,2247
ECU,SWE,2678
ECU,CAN,34659328
ECU,CUB,880136
ECU,MEX,49573944
ECU,PAN,142963
ECU,USA,279828143
ECU,AUS,101548
ECU,NZL,30093
ECU,ARG,41708
ECU,BOL,274144
ECU,CHL,1625
ECU,COL,12741534
ECU,PER,205171
PER,DZA,282667
PER,ZAF,7459
PER,BHR,5947
PER,CHN,137352
PER,HKG,380912
PER,IDN,1956818
PER,IND,3549870
PER,ISR,133292
PER,JPN,1188751
PER,KOR,2676
PER,MYS,1478111
PER,SGP,912668
PER,XXB,1964
PER,AUT,36508
PER,BGR,52369
PER,BIH,2247
PER,BEL,31617198
PER,CHE,2207135
PER,CZE,15100
PER,DEU,9442873
PER,DNK,128656
PER,ESP,8336100
PER,EST,9964172
PER,FIN,20386
PER,FRA,2243833
PER,GBR,970191
PER,GRC,1725
PER,HRV,4492
PER,IRL,5289
PER,ISL,13700
PER,ITA,16956812
PER,MKD,2389
PER,MNE,3022
PER,NLD,83730796
PER,NOR,9163
PER,POL,56594
PER,PRT,22302
PER,RUS,8515463
PER,SRB,4661
PER,SVK,3144
PER,SVN,6304
PER,SWE,6003
PER,UKR,455280
PER,CAN,8001776
PER,MEX,2184016
PER,USA,9233024
PER,AUS,504184
PER,NZL,33470
PER,BRA,1825
PER,CHL,17890
PER,COL,470601
PER,ECU,2162
PER,URY,4046
DOM,ZAF,2503
DOM,IDN,177811
DOM,IND,12513431
DOM,JPN,3033642
DOM,KOR,3111
DOM,MYS,124064
DOM,AUT,144002
DOM,BEL,31092114
DOM,CHE,140339
DOM,CZE,22015
DOM,DEU,19590690
DOM,ESP,16449464
DOM,EST,89318
DOM,FIN,3916
DOM,FRA,32055329
DOM,GBR,11467
DOM,ITA,7451980
DOM,NLD,40656435
DOM,NOR,2456
DOM,POL,6418897
DOM,RUS,92214
DOM,BRB,2450
DOM,CAN,20173288
DOM,JAM,1465
DOM,MEX,5560372
DOM,USA,79880341
DOM,AUS,19202
DOM,NZL,15530
NLD,ISR,87014
NLD,JPN,1343348
NLD,KAZ,77545
NLD,KOR,37682
NLD,MYS,13295
NLD,TUR,161726
NLD,XXB,1221
NLD,AUT,393463
NLD,BGR,53699
NLD,BEL,17770305
NLD,CHE,631236
NLD,CZE,106673
NLD,DEU,95873487
NLD,DNK,13323
NLD,ESP,2822789
NLD,EST,10973
NLD,FIN,58345
NLD,FRA,7166844
NLD,GBR,522092
NLD,GRC,8889906
NLD,HRV,2297703
NLD,HUN,105197
NLD,IRL,139142
NLD,ITA,13896663
NLD,LTU,20919
NLD,MLT,3378
NLD,NOR,6097
NLD,POL,2881368
NLD,PRT,30676
NLD,ROU,4490
NLD,RUS,85154
NLD,SVK,19638
NLD,SVN,1483
NLD,SWE,139089
NLD,PAN,101528
NLD,USA,202566
NLD,AUS,41507
NLD,PER,48536
BEL,MAR,16515
BEL,ZAF,8183
BEL,ARE,1546
BEL,CHN,1213
BEL,HKG,6052
BEL,IDN,285151
BEL,IND,1883
BEL,ISR,55512
BEL,KOR,11698
BEL,LBN,1285
BEL,SGP,29294
BEL,THA,2384
BEL,XXB,15001
BEL,AUT,7265567
BEL,BGR,1739
BEL,BIH,316253
BEL,CHE,391853
BEL,CZE,11929
BEL,DEU,70404397
BEL,DNK,6887
BEL,ESP,2993909
BEL,EST,413307
BEL,FIN,1175
BEL,FRA,20249226
BEL,GBR,173917
BEL,HRV,81046
BEL,HUN,3547
BEL,IRL,8677
BEL,ITA,6633196
BEL,LTU,6167
BEL,LVA,7891
BEL,NLD,26998163
BEL,NOR,11903
BEL,POL,57912
BEL,RUS,141386
BEL,SRB,8638
BEL,SVK,6245839
BEL,SWE,12320
BEL,CAN,43409
BEL,MEX,87313
BEL,USA,360631
BEL,AUS,21929
BEL,NZL,5711
BEL,BRA,94556
IDN,CHN,1867786
IDN,HKG,1819
IDN,IND,874538
IDN,JPN,1137199
IDN,KOR,4991
IDN,LKA,342027
IDN,MYS,77698473
IDN,QAT,1204
IDN,SGP,69046606
IDN,THA,5953633
IDN,BEL,650960
IDN,CHE,120806
IDN,CZE,58605
IDN,DEU,2310230
IDN,FIN,26365
IDN,FRA,118159
IDN,ITA,2780
IDN,NLD,909491
IDN,NOR,4852
IDN,RUS,6195
IDN,CAN,6206026
IDN,USA,8978957
IDN,AUS,55098
IDN,NZL,1896
IDN,COL,118597
PNG,HKG,10359
PNG,JPN,83150
PNG,MYS,56172730
PNG,SGP,5527147
PNG,THA,8712347
PNG,BEL,13103389
PNG,DEU,2635151
PNG,FRA,528646
PNG,NLD,104066
PNG,RUS,2528
PNG,USA,32137671
PNG,AUS,159123
PNG,NZL,26561
MYS,IDN,10970218
MYS,JPN,7916414
MYS,PHL,628145
MYS,SGP,27630731
MYS,THA,260011
MYS,XXB,8986
MYS,BEL,290218
MYS,DEU,1019026
MYS,EST,226284
MYS,FRA,1647
MYS,NLD,1634947
MYS,USA,1001268
MYS,NZL,1451822
UGA,DZA,512959
UGA,ZAF,186378
UGA,ARE,28643
UGA,IDN,1446891
UGA,IND,465025
UGA,MYS,26847046
UGA,SGP,15545303
UGA,AUT,1048898
UGA,BEL,2092593
UGA,CHE,30541
UGA,CZE,4896
UGA,DEU,8541697
UGA,ESP,7160396
UGA,EST,72042
UGA,GBR,477156
UGA,ITA,4151870
UGA,NLD,7972824
UGA,PRT,57986
UGA,RUS,268594
UGA,CAN,1389
UGA,MEX,153783
EST,ARM,2892849
EST,JPN,2367026
EST,KAZ,7644609
EST,MYS,735505
EST,SGP,1298781
EST,BLR,20738417
EST,BEL,210109
EST,FIN,7367
EST,HRV,225218
EST,LVA,1437
EST,NLD,49969
EST,RUS,65042878
EST,UKR,29363423
DEU,BHR,1331
DEU,JPN,610303
DEU,QAT,1043
DEU,SGP,61604
DEU,AUT,9820956
DEU,BGR,6513
DEU,BEL,1569764
DEU,CHE,83733
DEU,CZE,19382
DEU,DNK,2700213
DEU,ESP,1254975
DEU,FIN,3444
DEU,FRA,1079835
